Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2017);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
201;17343;"IEEE Transactions on Dielectrics and Electrical Insulation";journal;"10709878";0,468;Q2;96;457;1257;13046;2984;1239;2,15;28,55;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q2)"
202;21100329308;"Journal of Vacuum Science and Technology B: Nanotechnology and Microelectronics";journal;"21662754";0,467;Q2;111;247;823;7592;1025;818;1,17;30,74;United States;"AVS Science and Technology Society";"Condensed Matter Physics (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Instrumentation (Q2); Materials Chemistry (Q2); Process Chemistry and Technology (Q2); Surfaces, Coatings and Films (Q2)"
203;21100203110;"Computer Optics";journal;"01342452";0,457;Q2;19;120;349;2627;613;347;1,74;21,89;Russian Federation;"Institution of Russian Academy of Sciences, Image Processing Systems Institute of RAS";"Atomic and Molecular Physics, and Optics (Q2); Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2)"
204;21100241220;"International Transactions on Electrical Energy Systems";journal;"20507038";0,453;Q2;33;208;501;6577;811;500;1,58;31,62;United Kingdom;"John Wiley and Sons Ltd";"Electrical and Electronic Engineering (Q2); Energy Engineering and Power Technology (Q2); Modeling and Simulation (Q2)"
205;12300;"IEEE Transactions on Very Large Scale Integration (VLSI) Systems";journal;"10638210";0,447;Q2;92;385;943;10036;2230;938;2,20;26,07;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q2); Hardware and Architecture (Q2); Software (Q2)"
206;130117;"Optimization and Engineering";journal;"13894420";0,446;Q2;31;39;114;1749;169;112;1,49;44,85;Netherlands;"Kluwer Academic Publishers";"Aerospace Engineering (Q2); Civil and Structural Engineering (Q2); Electrical and Electronic Engineering (Q2); Mechanical Engineering (Q2); Software (Q2); Control and Optimization (Q3)"
207;100147032;"IEEE/OSA Journal of Display Technology";journal;"1551319X";0,442;Q2;53;0;580;0;862;575;1,43;0,00;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Condensed Matter Physics (Q3)"
208;21100286862;"Advances in Natural Sciences: Nanoscience and Nanotechnology";journal;"20436262";0,442;Q2;22;80;240;3316;400;240;1,71;41,45;United Kingdom;"Institute of Physics Publishing (IOP)";"Electrical and Electronic Engineering (Q2); Industrial and Manufacturing Engineering (Q2); Materials Science (miscellaneous) (Q2)"
209;26049;"IEEE Transactions on Device and Materials Reliability";journal;"15304388";0,440;Q2;60;103;334;2744;649;324;1,64;26,64;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Safety, Risk, Reliability and Quality (Q2)"
210;12100155655;"Journal of Location Based Services";journal;"17489725";0,439;Q2;18;11;49;420;82;46;1,80;38,18;United Kingdom;"Taylor & Francis";"Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2); Signal Processing (Q2)"
211;29112;"Photonics and Nanostructures - Fundamentals and Applications";journal;"15694410, 15694429";0,433;Q2;32;53;145;1950;236;144;1,44;36,79;Netherlands;"Elsevier BV";"Atomic and Molecular Physics, and Optics (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Hardware and Architecture (Q2); Condensed Matter Physics (Q3); Nanoscience and Nanotechnology (Q3)"
212;4800152404;"Dianli Zidonghua Shebei / Electric Power Automation Equipment";journal;"10066047";0,431;Q2;28;402;964;7808;1360;964;1,54;19,42;China;"Editorial Department of Electric Power Automation Equipment";"Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Energy Engineering and Power Technology (Q2)"
213;19700202601;"International Review on Modelling and Simulations";journal;"19749821";0,428;Q2;18;46;258;1268;275;256;0,99;27,57;Italy;"Praise Worthy Prize";"Chemical Engineering (miscellaneous) (Q2); Electrical and Electronic Engineering (Q2); Mechanical Engineering (Q2); Modeling and Simulation (Q3)"
214;21154;"Journal of Electroceramics";journal;"15738663, 13853449";0,427;Q2;64;45;198;2833;244;194;1,10;62,96;Netherlands;"Kluwer Academic Publishers";"Ceramics and Composites (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Materials Chemistry (Q2); Condensed Matter Physics (Q3); Mechanics of Materials (Q3)"
215;5400152656;"IET Nanobiotechnology";journal;"17518741";0,424;Q2;28;150;162;6160;337;160;2,12;41,07;United Kingdom;"Institution of Engineering and Technology";"Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Biotechnology (Q3); Nanoscience and Nanotechnology (Q3)"
216;17683;"AEU - International Journal of Electronics and Communications";journal;"14348411";0,420;Q2;44;351;609;10271;1467;598;2,17;29,26;Netherlands;"Elsevier BV";"Electrical and Electronic Engineering (Q2)"
217;11700154398;"IEEE Nanotechnology Magazine";journal;"19324510";0,419;Q2;11;18;59;883;39;45;0,76;49,06;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q2); Mechanical Engineering (Q2); Nanoscience and Nanotechnology (Q3)"
218;29118;"Physica B: Condensed Matter";journal;"09214526";0,417;Q2;92;735;1806;18015;2605;1789;1,46;24,51;Netherlands;"Elsevier BV";"Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Condensed Matter Physics (Q3)"
219;21100774788;"Journal of Electromagnetic Engineering and Science";journal;"22348395, 22348409";0,417;Q2;4;40;41;489;75;41;1,83;12,23;South Korea;"The Korean Institute of Electromagnetic Engineering and Science";"Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2); Instrumentation (Q2); Radiation (Q3)"
220;15463;"IEEE Micro";journal;"02721732";0,413;Q2;84;79;188;729;450;160;2,38;9,23;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q2); Hardware and Architecture (Q2); Software (Q2)"
221;19400157210;"Biochip Journal";journal;"20927843, 19760280";0,412;Q2;15;40;120;1240;164;120;1,43;31,00;Germany;"Springer Verlag";"Electrical and Electronic Engineering (Q2); Bioengineering (Q3); Biomedical Engineering (Q3); Biotechnology (Q3)"
222;21100245721;"ECS Solid State Letters";journal;"21628750, 21628742";0,410;Q2;16;0;198;0;213;194;1,32;0,00;United States;"The Electrochemical Society";"Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q3)"
223;5200152707;"Eurasip Journal on Image and Video Processing";journal;"16875176, 16875281";0,409;Q2;28;86;150;2990;345;147;1,79;34,77;Switzerland;"Springer International Publishing AG";"Electrical and Electronic Engineering (Q2); Information Systems (Q2); Signal Processing (Q2)"
224;26026;"IEEE Transactions on Applied Superconductivity";journal;"10518223";0,408;Q2;69;769;2475;12571;3508;2463;1,38;16,35;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q2); Condensed Matter Physics (Q3); Electronic, Optical and Magnetic Materials (Q3)"
225;24918;"Electronics Letters";journal;"00135194, 1350911X";0,407;Q2;134;801;3220;5794;4916;3119;1,47;7,23;United Kingdom;"Institute of Electrical Engineers";"Electrical and Electronic Engineering (Q2)"
226;19900194817;"IET Electrical Systems in Transportation";journal;"20429738, 20429746";0,406;Q2;15;38;67;1305;166;66;1,90;34,34;United Kingdom;"The Institution of Engineering and Technology";"Electrical and Electronic Engineering (Q2)"
227;18159;"Computers and Electrical Engineering";journal;"00457906";0,401;Q2;43;415;737;6365;1538;670;1,97;15,34;United Kingdom;"Elsevier Ltd.";"Computer Science (miscellaneous) (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2)"
228;29560;"Soldering and Surface Mount Technology";journal;"09540911";0,399;Q2;26;29;76;674;109;75;1,41;23,24;United Kingdom;"Emerald Group Publishing Ltd.";"Electrical and Electronic Engineering (Q2); Materials Science (miscellaneous) (Q2); Condensed Matter Physics (Q3)"
229;66344;"Chinese Optics Letters";journal;"16717694";0,393;Q2;29;256;960;6051;964;958;1,16;23,64;China;"Science Press";"Atomic and Molecular Physics, and Optics (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q3)"
230;17258;"IEEE Electrical Insulation Magazine";journal;"08837554";0,392;Q2;59;43;145;710;217;100;1,66;16,51;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q3)"
231;26717;"Microelectronics Reliability";journal;"00262714";0,388;Q2;77;411;1274;9910;1895;1254;1,41;24,11;Netherlands;"Elsevier BV";"Electrical and Electronic Engineering (Q2); Safety, Risk, Reliability and Quality (Q2); Surfaces, Coatings and Films (Q2); Atomic and Molecular Physics, and Optics (Q3); Condensed Matter Physics (Q3); Electronic, Optical and Magnetic Materials (Q3); Nanoscience and Nanotechnology (Q3)"
232;35932;"International Journal of Imaging Systems and Technology";journal;"10981098, 08999457";0,380;Q2;41;41;103;1145;149;103;1,73;27,93;United States;"John Wiley & Sons Inc.";"Computer Vision and Pattern Recognition (Q2); Electrical and Electronic Engineering (Q2); Software (Q2); Electronic, Optical and Magnetic Materials (Q3)"
233;6100153106;"IET Signal Processing";journal;"17519675, 17519683";0,380;Q2;30;134;319;3866;534;316;1,54;28,85;United Kingdom;"Institution of Engineering and Technology";"Electrical and Electronic Engineering (Q2); Signal Processing (Q2)"
234;21100331506;"International Journal on Communications Antenna and Propagation";journal;"20395086";0,380;Q2;13;71;148;1893;228;144;1,55;26,66;Italy;"Praise Worthy Prize";"Media Technology (Q1); Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2); Hardware and Architecture (Q2); Signal Processing (Q2)"
235;7000153211;"Journal of Micro/ Nanolithography, MEMS, and MOEMS";journal;"19325134, 19325150";0,379;Q2;34;74;370;1772;444;349;1,39;23,95;United States;"S P I E - International Society for Optical Engineering";"Electrical and Electronic Engineering (Q2); Mechanical Engineering (Q2); Atomic and Molecular Physics, and Optics (Q3); Condensed Matter Physics (Q3); Electronic, Optical and Magnetic Materials (Q3); Nanoscience and Nanotechnology (Q3)"
236;144789;"Infrared and Laser Engineering";journal;"10072276";0,379;Q2;25;491;2088;7202;1388;2088;0,68;14,67;China;"China Aerospace Science and Industry Corporation";"Aerospace Engineering (Q2); Electrical and Electronic Engineering (Q2); Atomic and Molecular Physics, and Optics (Q3); Space and Planetary Science (Q3)"
237;16031;"Electric Power Components and Systems";journal;"15325008";0,373;Q2;39;193;566;5686;903;554;1,49;29,46;United Kingdom;"Taylor & Francis";"Electrical and Electronic Engineering (Q2); Energy Engineering and Power Technology (Q2); Mechanical Engineering (Q2)"
238;25482;"International Journal of Robotics and Automation";journal;"08268185";0,367;Q2;23;72;154;1917;189;153;1,07;26,63;Canada;"ACTA Press";"Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Mechanical Engineering (Q2); Software (Q2); Artificial Intelligence (Q3); Modeling and Simulation (Q3)"
239;17963;"International Journal of Circuit Theory and Applications";journal;"00989886, 1097007X";0,366;Q2;44;149;351;3684;493;342;1,43;24,72;United States;"John Wiley & Sons Inc.";"Electrical and Electronic Engineering (Q2); Applied Mathematics (Q3); Computer Science Applications (Q3); Electronic, Optical and Magnetic Materials (Q3)"
240;21100284945;"Nanomaterials and Nanotechnology";journal;"18479804";0,366;Q2;13;28;121;1038;137;119;1,05;37,07;Croatia;"InTech";"Ceramics and Composites (Q2); Electrical and Electronic Engineering (Q2); Biotechnology (Q3); Electronic, Optical and Magnetic Materials (Q3)"
241;4000149403;"International Journal of Ventilation";journal;"14733315";0,366;Q2;15;38;96;546;62;91;0,73;14,37;United Kingdom;"Taylor & Francis";"Building and Construction (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Civil and Structural Engineering (Q3)"
242;21100228564;"Frontiers of Optoelectronics";journal;"20952759, 20952767";0,365;Q2;11;48;169;1377;142;158;0,86;28,69;United States;"Springer Science + Business Media";"Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q3)"
243;27160;"Radiophysics and Quantum Electronics (English Translation of Izvestiya Vysshikh Uchebnykh Zavedenii, Radiofizika)";journal;"15739120, 00338443";0,362;Q2;14;317;275;3777;178;273;0,62;11,91;United States;"Kluwer Academic/Plenum Publishers";"Electrical and Electronic Engineering (Q2); Astronomy and Astrophysics (Q3); Electronic, Optical and Magnetic Materials (Q3); Nuclear and High Energy Physics (Q3); Statistical and Nonlinear Physics (Q4)"
244;28916;"IEEE Security and Privacy";journal;"15407993";0,360;Q2;62;97;283;854;412;244;1,51;8,80;United States;"IEEE Computer Society";"Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2); Law (Q2)"
245;17388;"IEEE Transactions on Semiconductor Manufacturing";journal;"08946507";0,359;Q2;57;76;192;1601;270;181;1,59;21,07;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q2); Industrial and Manufacturing Engineering (Q2); Condensed Matter Physics (Q3); Electronic, Optical and Magnetic Materials (Q3)"
246;51150;"Opto-electronics Review";journal;"12303402, 18963757";0,358;Q2;35;46;101;1525;149;98;1,14;33,15;Netherlands;"Elsevier BV";"Electrical and Electronic Engineering (Q2); Radiation (Q3)"
247;21100239230;"Diagnostyka";journal;"16416414";0,356;Q2;8;51;143;1058;140;143;0,87;20,75;Poland;"Polish Society of Technical Diagnostics";"Electrical and Electronic Engineering (Q2); Software (Q2)"
248;21100222913;"Journal of Modern Transportation";journal;"2095087X";0,354;Q2;11;26;90;776;98;90;1,00;29,85;China;"Springer International Publishing AG";"Electrical and Electronic Engineering (Q2); Mechanical Engineering (Q2); Computer Science Applications (Q3); Transportation (Q3)"
249;12313;"Optical and Quantum Electronics";journal;"03068919, 1572817X";0,353;Q2;50;427;1076;12718;1280;1065;1,25;29,78;Netherlands;"Kluwer Academic Publishers";"Electrical and Electronic Engineering (Q2); Atomic and Molecular Physics, and Optics (Q3); Electronic, Optical and Magnetic Materials (Q3)"
250;5300152720;"IET Science, Measurement and Technology";journal;"17518822, 17518830";0,352;Q2;41;142;321;3762;544;316;1,65;26,49;United Kingdom;"Institution of Engineering and Technology";"Electrical and Electronic Engineering (Q2); Atomic and Molecular Physics, and Optics (Q3)"
251;18817;"European Transactions on Telecommunications";journal;"15418251, 1124318X";0,347;Q2;38;0;47;0;93;46;0,00;0,00;United States;"Wiley-Blackwell";"Electrical and Electronic Engineering (Q2)"
252;110152;"Optik";journal;"00304026";0,346;Q2;40;1407;4564;36622;6124;4534;1,39;26,03;Netherlands;"Elsevier BV";"Electrical and Electronic Engineering (Q2); Atomic and Molecular Physics, and Optics (Q3); Electronic, Optical and Magnetic Materials (Q3)"
253;26738;"Microsystem Technologies";journal;"09467076";0,346;Q2;55;683;883;15319;1165;861;1,28;22,43;Germany;"Springer Verlag";"Electrical and Electronic Engineering (Q2); Hardware and Architecture (Q2); Condensed Matter Physics (Q3); Electronic, Optical and Magnetic Materials (Q3); Nanoscience and Nanotechnology (Q3)"
254;19800188069;"Journal of Laser Micro Nanoengineering";journal;"18800688";0,344;Q2;16;54;188;1250;155;186;0,84;23,15;Japan;"Japan Laser Processing";"Electrical and Electronic Engineering (Q2); Industrial and Manufacturing Engineering (Q2); Instrumentation (Q3); Nanoscience and Nanotechnology (Q3)"
255;11300153720;"Physical Communication";journal;"18744907";0,341;Q2;25;113;136;3173;295;127;1,84;28,08;Netherlands;"Elsevier BV";"Electrical and Electronic Engineering (Q2)"
256;5400152646;"IET Image Processing";journal;"17519659";0,340;Q2;29;152;315;5022;589;312;1,89;33,04;United Kingdom;"Institute of Electrical Engineers";"Computer Vision and Pattern Recognition (Q2); Electrical and Electronic Engineering (Q2); Software (Q2); Signal Processing (Q3)"
257;11800154585;"International Journal of Optomechatronics";journal;"15599612";0,338;Q2;15;1;63;36;66;62;0,82;36,00;United States;"Taylor and Francis";"Electrical and Electronic Engineering (Q2); Instrumentation (Q3); Mechanical Engineering (Q3)"
258;5100155036;"Eurasip Journal on Audio, Speech, and Music Processing";journal;"16874714, 16874722";0,337;Q2;20;26;93;1121;149;92;2,06;43,12;Germany;"Springer Verlag";"Acoustics and Ultrasonics (Q2); Electrical and Electronic Engineering (Q2)"
259;17569;"Wireless Networks";journal;"10220038, 15728196";0,336;Q2;79;392;576;6747;1113;547;1,82;17,21;Netherlands;"Baltzer Science Publishers B.V.";"Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2); Information Systems (Q2)"
260;25993;"IEEE Aerospace and Electronic Systems Magazine";journal;"08858985";0,335;Q2;50;87;228;1923;287;171;1,61;22,10;United States;"Institute of Electrical and Electronics Engineers";"Aerospace Engineering (Q2); Electrical and Electronic Engineering (Q2); Space and Planetary Science (Q3)"
261;7600153104;"IET Optoelectronics";journal;"17518768";0,335;Q2;37;46;126;1164;186;121;1,79;25,30;United Kingdom;"Institution of Engineering and Technology";"Electrical and Electronic Engineering (Q2); Atomic and Molecular Physics, and Optics (Q3)"
262;15360;"IEEE Instrumentation and Measurement Magazine";journal;"10946969";0,333;Q2;35;58;204;470;219;163;1,44;8,10;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q2); Instrumentation (Q3)"
263;17260;"IEEE Industry Applications Magazine";journal;"10772618";0,331;Q2;48;71;245;728;169;190;0,74;10,25;United States;"Institute of Electrical and Electronics Engineers";"Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Energy Engineering and Power Technology (Q2); Industrial and Manufacturing Engineering (Q2)"
264;28513;"Modelling, Measurement and Control A";journal;"12595985";0,330;Q2;5;8;17;149;26;17;1,53;18,63;France;"AMSE Press";"Electrical and Electronic Engineering (Q2); Computer Science Applications (Q3); Condensed Matter Physics (Q3); Modeling and Simulation (Q3)"
265;12918;"Zhongguo Jiguang/Chinese Journal of Lasers";journal;"02587025";0,328;Q2;29;446;1662;10047;1159;1662;0,85;22,53;China;"Science Press";"Electrical and Electronic Engineering (Q2); Atomic and Molecular Physics, and Optics (Q3); Electronic, Optical and Magnetic Materials (Q3)"
266;24950;"Automation and Remote Control";journal;"00051179, 16083032";0,328;Q2;28;177;557;3378;416;554;0,73;19,08;Russian Federation;"Maik Nauka/Interperiodica Publishing";"Electrical and Electronic Engineering (Q2); Control and Systems Engineering (Q3)"
267;21100463102;"International Journal of Dynamics and Control";journal;"21952698, 2195268X";0,327;Q2;9;101;144;3160;150;138;0,96;31,29;Switzerland;"Springer International Publishing AG";"Electrical and Electronic Engineering (Q2); Civil and Structural Engineering (Q3); Control and Optimization (Q3); Control and Systems Engineering (Q3); Mechanical Engineering (Q3); Modeling and Simulation (Q3)"
268;17964;"International Journal of Communication Systems";journal;"10991131, 10745351";0,326;Q2;37;333;608;10910;1136;605;1,64;32,76;United States;"John Wiley & Sons Inc.";"Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2)"
269;37960;"Magnetohydrodynamics";journal;"0024998X";0,326;Q2;20;77;159;1060;103;155;0,71;13,77;United States;"Consultants Bureau";"Electrical and Electronic Engineering (Q2); Physics and Astronomy (miscellaneous) (Q3)"
270;16065;"Electrical Engineering";journal;"09487921";0,323;Q2;28;263;104;3198;143;99;1,45;12,16;Germany;"Springer Verlag";"Electrical and Electronic Engineering (Q2); Applied Mathematics (Q3)"
271;21100239834;"Journal of Aerospace Information Systems";journal;"23273097";0,322;Q2;26;46;157;1734;202;147;1,44;37,70;United States;"American Institute of Aeronautics and Astronautics";"Aerospace Engineering (Q2); Electrical and Electronic Engineering (Q2); Computer Science Applications (Q3)"
272;71244;"Communications - Scientific Letters of the University of Zilina";journal;"13354205";0,322;Q2;15;113;313;2045;367;306;1,22;18,10;Slovakia;"Zylinska Univerzita";"Automotive Engineering (Q2); Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2); Economics and Econometrics (Q3); Transportation (Q3)"
273;15300154801;"Eurasip Journal on Advances in Signal Processing";journal;"16876172";0,322;Q2;73;83;416;2860;693;404;1,64;34,46;Germany;"SpringerOpen";"Electrical and Electronic Engineering (Q2); Hardware and Architecture (Q2); Signal Processing (Q3)"
274;24449;"Kybernetika";journal;"00235954, 1805949X";0,321;Q2;31;64;182;1678;119;177;0,66;26,22;Czech Republic;"Academy of Sciences of the Czech Republic";"Electrical and Electronic Engineering (Q2); Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Software (Q3); Theoretical Computer Science (Q3)"
275;19900191737;"Studies in Informatics and Control";journal;"12201766, 1841429X";0,320;Q2;14;48;136;1236;143;136;1,21;25,75;Romania;"National Institute for R & D in Informatics";"Computer Science (miscellaneous) (Q2); Electrical and Electronic Engineering (Q2)"
276;19700177325;"China Communications";journal;"16735447";0,314;Q2;20;217;763;5747;1304;731;1,84;26,48;China;"China Institute of Communication";"Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2)"
277;4700152798;"ACM Journal on Emerging Technologies in Computing Systems";journal;"15504832";0,308;Q2;30;46;146;1746;273;138;2,22;37,96;United States;"Association for Computing Machinery (ACM)";"Electrical and Electronic Engineering (Q2); Hardware and Architecture (Q2); Nanoscience and Nanotechnology (Q3); Software (Q3)"
278;23954;"Sensor Review";journal;"02602288";0,307;Q2;29;58;151;1495;199;151;1,27;25,78;United Kingdom;"Emerald Group Publishing Ltd.";"Electrical and Electronic Engineering (Q2); Industrial and Manufacturing Engineering (Q2)"
279;17961;"International Journal of Applied Electromagnetics and Mechanics";journal;"13835416";0,304;Q2;24;206;740;4188;697;731;0,91;20,33;Netherlands;"IOS Press";"Electrical and Electronic Engineering (Q2); Condensed Matter Physics (Q3); Electronic, Optical and Magnetic Materials (Q3); Mechanical Engineering (Q3); Mechanics of Materials (Q3)"
280;19700166617;"International Journal of Mechanics";journal;"19984448";0,303;Q2;14;39;146;853;148;146;1,24;21,87;United States;"North Atlantic University Union";"Electrical and Electronic Engineering (Q2); Physics and Astronomy (miscellaneous) (Q3)"
281;18061;"Journal of Microwave Power and Electromagnetic Energy";journal;"08327823";0,300;Q2;27;24;72;565;42;60;0,43;23,54;United States;"Taylor and Francis Inc.";"Electrical and Electronic Engineering (Q2); Metals and Alloys (Q2); Ceramics and Composites (Q3); Condensed Matter Physics (Q3); Electronic, Optical and Magnetic Materials (Q3)"
282;24364;"Computers, Materials and Continua";journal;"15462226, 15462218";0,300;Q2;25;19;135;518;60;135;0,49;27,26;United States;"Tech Science Press";"Electrical and Electronic Engineering (Q2); Computer Science Applications (Q3); Mechanics of Materials (Q3); Modeling and Simulation (Q3); Biomaterials (Q4)"
283;22679;"Jisuanji Jicheng Zhizao Xitong/Computer Integrated Manufacturing Systems, CIMS";journal;"10065911";0,297;Q2;28;290;1007;6387;648;1007;0,56;22,02;China;"Beijing Advanced Manufacturing Technology Consultation Center";"Electrical and Electronic Engineering (Q2); Industrial and Manufacturing Engineering (Q2); Computer Science Applications (Q3); Control and Systems Engineering (Q3); Software (Q3)"
284;19700182701;"Journal of Nanotechnology in Engineering and Medicine";journal;"19492944, 19492952";0,297;Q2;14;0;77;0;91;72;1,16;0,00;United States;"American Society of Mechanical Engineers";"Electrical and Electronic Engineering (Q2); Materials Science (miscellaneous) (Q3); Medicine (miscellaneous) (Q3); Nanoscience and Nanotechnology (Q3)"
285;17600155044;"International Journal of Digital Multimedia Broadcasting";journal;"16877586, 16877578";0,296;Q2;14;11;11;204;18;11;2,80;18,55;Egypt;"Hindawi Publishing Corporation";"Communication (Q2); Electrical and Electronic Engineering (Q2); Media Technology (Q2)"
286;21100373959;"International Journal of Electrical and Computer Engineering";journal;"20888708";0,296;Q2;11;372;652;7494;622;651;0,93;20,15;Indonesia;"Institute of Advanced Engineering and Science (IAES)";"Computer Science (miscellaneous) (Q2); Electrical and Electronic Engineering (Q2)"
287;19700174753;"Nano Communication Networks";journal;"18787789";0,294;Q2;25;31;60;1265;126;53;2,23;40,81;Netherlands;"Elsevier BV";"Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2); Applied Mathematics (Q3)"
288;19700201455;"Sustainable Computing: Informatics and Systems";journal;"22105379";0,294;Q2;14;52;83;1003;131;73;1,57;19,29;United States;"Elsevier USA";"Computer Science (miscellaneous) (Q2); Electrical and Electronic Engineering (Q2)"
289;25061;"Displays";journal;"01419382";0,293;Q2;49;48;139;1439;197;134;1,31;29,98;Netherlands;"Elsevier BV";"Electrical and Electronic Engineering (Q2); Hardware and Architecture (Q2); Human-Computer Interaction (Q3)"
290;2900147403;"Optical Switching and Networking";journal;"15734277";0,293;Q2;23;53;150;1574;245;143;1,33;29,70;Netherlands;"Elsevier BV";"Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2)"
291;19700188366;"Gyroscopy and Navigation";journal;"20751109, 20751087";0,292;Q2;13;38;126;814;102;124;0,62;21,42;Germany;"Maik Nauka Publishing / Springer SBM";"Computer Science (miscellaneous) (Q2); Electrical and Electronic Engineering (Q2); Control and Systems Engineering (Q3)"
292;29685;"Guangdianzi Jiguang/Journal of Optoelectronics Laser";journal;"10050086";0,291;Q2;22;172;958;3457;583;958;0,74;20,10;China;"Tianjin Daxue Jidian Fenxiao/Tianjin Innstitute of Technnology";"Electrical and Electronic Engineering (Q2)"
293;21100389313;"Transactions on Emerging Telecommunications Technologies";journal;"21613915";0,291;Q2;14;173;321;5531;565;298;1,45;31,97;United Kingdom;"John Wiley and Sons Ltd";"Electrical and Electronic Engineering (Q2)"
294;12981;"Kybernetes";journal;"0368492X";0,290;Q2;30;104;297;5125;315;296;1,09;49,28;United Kingdom;"Emerald Group Publishing Ltd.";"Computer Science (miscellaneous) (Q2); Electrical and Electronic Engineering (Q2); Engineering (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Software (Q3); Theoretical Computer Science (Q3)"
295;21100463872;"Journal of Sensors and Sensor Systems";journal;"21948771, 2194878X";0,289;Q2;5;38;62;1097;64;62;1,03;28,87;Germany;"Copernicus GmbH";"Electrical and Electronic Engineering (Q2); Instrumentation (Q3)"
296;19900191768;"Control Engineering and Applied Informatics";journal;"14548658";0,289;Q2;11;48;142;1316;152;142;0,96;27,42;Romania;"Romanian Society of Control Engineering and Technical Informatics";"Computer Science (miscellaneous) (Q2); Electrical and Electronic Engineering (Q2)"
297;5400152712;"IET Circuits, Devices and Systems";journal;"17518598, 1751858X";0,288;Q2;44;85;185;2607;267;180;1,55;30,67;United Kingdom;"Institution of Engineering and Technology";"Electrical and Electronic Engineering (Q2); Control and Systems Engineering (Q3)"
298;17700156304;"Journal of Sensors";journal;"16877268, 1687725X";0,288;Q2;25;240;671;7131;916;648;1,45;29,71;Egypt;"Hindawi Publishing Corporation";"Electrical and Electronic Engineering (Q2); Control and Systems Engineering (Q3); Instrumentation (Q3)"
299;18662;"ACM Transactions on Design Automation of Electronic Systems";journal;"10844309";0,287;Q2;46;74;191;2939;269;189;1,45;39,72;United States;"Association for Computing Machinery (ACM)";"Electrical and Electronic Engineering (Q2); Computer Graphics and Computer-Aided Design (Q3); Computer Science Applications (Q3)"
300;10700153305;"Journal of Power Electronics";journal;"15982092";0,284;Q2;24;159;477;4070;587;476;1,20;25,60;South Korea;"Korean Institute of Power Electronics";"Electrical and Electronic Engineering (Q2); Control and Systems Engineering (Q3)"
301;13225;"Gaoya Dianqi/High Voltage Apparatus";journal;"10011609";0,283;Q2;22;360;1097;7383;554;1097;0,50;20,51;China;"Xi'an Gaoya Dianqi Yanjiusuo";"Electrical and Electronic Engineering (Q2); Energy Engineering and Power Technology (Q3)"
